,tau1,tau2,tau3,tau4,a_1,a_2,a_3,a_4,b_1,b_2,b_3,b_4,F2x,T2x,GregoryF2x,GregoryT2x,GregoryF2x_1-20,GregoryT2x_1-20
CIESM,2.802324508987812,16.640100387765546,257.80875176458596,5000.0,3.3389399269330697,2.1059850510527283,6.536617225755032,0.6529068688127693,3.5059791318302675,1.922444196976084,3.354087042165187,0.33502137157382705,4.558765871272684,6.317224536276799,3.875779820255267,5.639956695801753,4.4868657962480585,4.7053566768055495
CMCC-CM2-SR5,1.3954728216662375,8.27626161414189,80.46590462702464,5000.0,2.2308519384812717,1.9621411891922151,2.1474656476290312,0.9168833812085666,1.7522961791835872,2.6106562680678165,2.105929894808585,0.8991492481717467,3.6840157951158683,3.628671078255542,3.774412055438226,3.5654282599916027,4.072191784383969,3.309031700675989
CMCC-ESM2,1.248762663362646,6.396136696973102,105.71399624436876,5000.0,1.7183530369525195,2.3663455606675803,2.5500233897701974,0.588397395379479,2.391011755646168,2.8552358074724316,2.538842211319168,0.5858174283469211,4.1854536013923465,3.611559691384888,3.765271432812781,3.5575083779635674,4.0877194318170265,3.267941195145468
CNRM-CM6-1,1.7766434695668651,14.256516890178206,96.72929047904468,5000.0,2.8156041378044647,2.506265203101162,1.9431112449512429,2.4095958246056908,3.238840486223725,1.6526581818221235,1.517159193036968,1.8813850551802809,4.1450214581315485,4.83728820523128,3.712754472448376,4.850926805188607,3.995225072248018,4.225247234451941
CNRM-CM6-1-HR,1.7576757855344498,12.732842991669648,274.7097121135111,5000.0,2.1266771451488777,3.332518223038643,2.8013287009948566,0.0534527081805645,1.9494540514946948,2.6197269432324326,3.0420717155222214,0.05804637335718965,3.8346495418032696,4.156988388681471,3.9031460730304812,4.394245564338009,3.7064310596507566,4.677038173614342
CNRM-ESM2-1,4.13611453676537,40.755401438439975,93.08429004922016,5000.0,3.6031399877957324,2.1975104309385087,0.5905136910118699,1.6974962078009936,1.8906571880761984,1.4287449133166092,0.6170008501357412,1.773636444433186,2.855019697980868,4.044330158773551,3.0023241699271805,4.699651857995375,2.8757380174914617,5.140516905663488
CanESM5,2.1864973987882643,13.373685278569296,179.44029955582798,5000.0,2.3757624440758067,3.5031757942669333,4.046804726851781,1.6929625190051771,1.7657855553334936,2.3841512706199315,2.4103664304915493,1.008365932957938,3.784334594701456,5.809352742099849,3.6414254949285567,5.647035351423763,3.754967886314383,5.4016630794469975
E3SM-1-0,1.0595888055746254,9.799990104634484,114.58268612724683,5000.0,1.058158448443741,4.803885803596071,3.9148988743793214,1.7413543249679109,3.02766424823728,3.783325938828953,1.8701560322470032,0.8318488930660966,4.756497556189667,5.759148725693523,3.332399859965967,5.326724591033426,3.6339176828701856,4.828975611063673
EC-Earth3,2.6643480609417773,26.32999996337503,107.26629444862616,5000.0,3.1661122768212784,2.2560180987043443,2.30993794051082,0.6447202304385458,3.9176243048439683,1.6296756810122708,1.873773337472175,0.5229835645097518,3.9720284439190814,4.188394273237494,3.3849276664959005,4.170370647962535,3.8483702975091822,3.6245040367342662
EC-Earth3-AerChem,2.8355265884346914,28.134365095994628,103.24328487977058,5000.0,3.0882441930624758,2.316430005770812,1.6860824722308296,0.5756967974798191,4.1389209645607,1.7978451578136103,1.7347046260741323,0.5922983687049355,4.131884558576688,3.833226734271968,3.5659469410931934,3.8993678216942262,3.981244775449101,3.4531322216517983
EC-Earth3-CC,1.7094833566360572,12.459943650254164,80.03029048792175,5000.0,2.593830126023878,1.7476610364492802,3.3443116685410663,0.9402266575070573,4.624409029475731,1.4868389546736325,2.3710581074996275,0.6666041506059495,4.574455121127469,4.3130147442606415,3.3310519049546516,4.189288085016116,4.060299246162456,3.396717020507732
EC-Earth3-Veg,2.267547480127146,20.383061710150702,88.11494515886653,5000.0,3.1297812795381854,2.008746089317919,2.8174632836975504,0.8432718155569724,4.217527149557122,1.5539430605187707,2.118819045606965,0.6341663416748471,4.262227798678852,4.399631234055313,3.4857900913090623,4.3238177145953065,4.078193406399635,3.635804651857387
FGOALS-f3-L,1.1526035019394971,6.1264756861580585,122.69670928617369,5000.0,1.4749906490474471,2.3674412128806535,1.9295944786187864,0.5627698253467164,2.628039828207389,4.056872287126261,2.0857724407063745,0.6083194190157197,4.689501987527873,3.1673980829468014,4.091395734819705,3.0070296695582237,4.594748781551698,2.766184014000644
FGOALS-g3,2.8193738277523797,15.438169903555211,154.88077800557977,5000.0,3.0512061983491274,0.49749815439229705,1.7869255404973945,0.8325243212683225,4.617694992033659,0.7453112916927773,1.7410627214918606,0.8111569439497321,3.9576129745840163,3.0840771072535698,3.5957590307430696,2.8765951880278817,3.885870343243658,2.7307753038796707
GFDL-CM4,1.9641438962362896,10.467587294506457,175.6140948498656,5000.0,2.8763785765926664,1.1787027160927384,3.229947553917365,1.9180581548050395,4.950973714939339,1.3530263312639317,1.7125568354784233,1.0169773809090583,4.516767131295376,4.6015435007039045,3.1874386048177152,3.91111001391244,4.334028026022613,2.9368481296081805
GFDL-ESM4,1.1395024312717934,5.747491158819567,82.88191523494667,5000.0,1.3018040358675842,2.1452804564120806,0.951391268038006,0.921600793397612,2.6688095421884586,2.7850949192216854,1.2973580444499468,1.2567344721920255,4.003998489026058,2.6600382768576414,3.6393538269838266,2.6576540064553087,3.6198514946791462,2.6726430204610234
GISS-E2-1-G,1.1566264109871505,5.9486839114949825,341.46629770774763,5000.0,1.8036001855984911,1.6819513195698204,1.7232322394517368,0.3449881219807209,2.613115397477044,2.762014646248787,2.1969087978700284,0.4398173519439492,4.005928096769904,2.7768859333003846,3.9261758116966208,2.664755446115644,3.966870363661223,2.7261273558076584
GISS-E2-1-H,1.0402676265647,7.257764667777552,84.97254174671215,5000.0,1.5593831991969251,1.9985543823561007,1.7533199987891108,0.9812550121189072,2.798774053779912,2.4553711996547283,1.860257036612092,1.0411029032154655,4.077752596631099,3.1462562962305216,3.5308124810074712,3.0838486769280733,3.782533985339416,2.8768066252534443
GISS-E2-2-G,1.4166050733211313,10.415543013997738,431.595163664521,5000.0,1.940145834696153,1.6429415380796617,0.4612616583333261,0.6748880319354615,3.0967771446154,2.510854073738392,0.7733386859522758,1.131498823612886,3.756234363959477,2.359618531522301,3.7300560184082254,2.410065043927713,3.55659892187316,2.506639832999125
GISS-E2-2-H,1.3299985474989453,7.514216778991108,83.07097981192187,5000.0,1.4788647491534561,1.8602661380307544,1.2974579606740049,0.6236373979658164,1.7096893294265405,2.7368950694586505,1.7622145074651916,0.8470277291468493,3.527913317748616,2.6301131229120163,3.6867847265456803,2.6135411808379607,3.4093851769861043,2.8999278996003355
HadGEM3-GC31-MM,1.526204983220914,15.152572385638955,239.47530245146615,5000.0,2.3383880301956457,3.2739589739867325,5.024376396309521,0.2801925955345721,3.15183004716442,1.9717142908598448,3.2841260251917053,0.1831446775637655,4.295407520389868,5.4584579980132375,3.55022769915687,5.463234253212731,3.818999290734871,4.780910879537529
ICON-ESM-LR,1.3123383358571492,7.1480993448064005,397.0833129577904,5000.0,2.0725935721594397,2.534421436613186,3.5479560328220776,0.430689716712928,3.582354670376529,3.4918181685959637,2.350991244867396,0.2853890363576808,4.855276560098785,4.292830379153815,3.975056531703983,3.643903153501041,4.6463484499101435,3.2191329495052825
IITM-ESM,1.046789869443166,5.368359720631175,126.92422608991423,5000.0,1.5145161267860443,1.7640938918936548,0.8964310805262108,0.6407557722457544,3.7644436876136345,3.3863624918736277,1.5759197547628818,1.1264442982807816,4.926585116265462,2.407898435725832,4.5462378422733005,2.3613631319102084,4.4489168394766105,2.429448830206064
INM-CM4-8,1.1658318615322618,6.528814589961415,80.86051233784535,5000.0,1.2658704349186998,1.291778689604059,1.1886159800913478,0.006533455241127786,2.689032108389985,2.4434011194326444,1.439167334845115,0.007910658719211483,3.2897556106934784,1.8763992799276168,2.7165262596521877,1.8337841642767672,3.0563642123355086,1.743061257361795
INM-CM5-0,1.0619294074290595,6.378963645134977,161.13565600533985,5000.0,1.1181538363827772,1.6420888704397931,1.2376718172014989,0.0281957028643218,1.9858106549665333,3.1584101763029326,1.3889383260769386,0.03164174201484471,3.2824004496806247,2.0130551134441954,2.9387643582803453,1.9091061160966551,3.214412646877533,1.846542596647883
IPSL-CM5A2-INCA,1.368115351427426,13.047703569893216,83.130537033075,5000.0,1.98641076559461,2.227877450338064,1.4724159691772007,2.1125539966063203,2.839232130239962,1.8649665567113392,1.1047683486187327,1.5850702784097503,3.697018656989892,3.8996290908580975,3.1137947795248992,3.778406027223357,3.2369699312204885,3.605744497993821
IPSL-CM6A-LR,1.0847134828710048,10.72733856047625,93.39651927726,5000.0,1.8560782329194057,3.264929728114347,2.592673841087125,1.8250109052104369,3.850041763545213,2.6055773287579562,1.6589506539999406,1.1677531461058692,4.641161446204488,4.769346353665657,3.612706424677065,4.430331747034005,3.9604328134699993,3.6852493158998
KIOST-ESM,1.0499529257011966,5.750641556640428,285.8292663433721,5000.0,1.4625285481348431,2.025800725334276,3.881904790784615,0.023132776023370428,1.894924673729516,2.7818053059675574,2.7392495707941604,0.016323544808137136,3.716151547649685,3.696683420138552,3.117526839877044,3.3459569014260304,3.595471434964221,2.9996637691902674
MIROC-ES2L,1.5859645255810575,9.324754149853717,209.3488641234826,5000.0,1.618591994425914,2.1291469348263887,0.716479880006174,0.43029628841861417,2.9305493041306763,2.753216131793431,1.6441470799160398,0.9874253357904176,4.1576689258152815,2.4472575488385457,4.110651971942807,2.6600754717307957,3.9456102650287024,2.7120410741482925
MIROC6,1.9631236963899312,13.048463541776595,297.2424846057387,5000.0,2.3588378603610147,1.2092415019108913,1.1481929071667158,0.2220177776275142,3.6020296819026045,1.5797964147071002,2.031106702353509,0.39274044750339066,3.8028366232333015,2.469145023533068,3.7769514044410326,2.571830094087863,3.950518952964645,2.422090056350652
MPI-ESM-1-2-HAM,1.4504161789537804,9.667034704417107,245.6102916620881,5000.0,2.07323359230418,1.819502357978064,2.145124487338201,0.4083675217231093,3.8396916096974194,2.896586643098643,2.1818763467482154,0.4153639761641319,4.666759287854204,3.2231139796717767,4.0552816750199465,2.976485378255378,4.62557672859814,2.67374478423617
MPI-ESM1-2-HR,2.1165704222370056,10.754990280874187,98.70703050651376,5000.0,2.735449627023796,0.7067014677624911,1.8595168036038885,1.0055441890668677,4.298963215209821,1.3793581095761875,1.842937370582308,0.9965787672430028,4.258918731305659,3.1536060437285216,3.7055609911398455,2.9623771669735652,4.207551657880351,2.7414627325574017
MPI-ESM1-2-LR,1.8717880335366481,10.225442876535674,257.2848072205217,5000.0,2.51432778691046,1.5331129719760308,2.165484757995943,0.08242885382282084,4.817101573470069,2.252798167084486,2.569413597640359,0.0978043447630963,4.868558841479005,3.1476771853526277,4.262797944736939,3.0125260915292795,4.697917047754248,2.7889249238326954
MRI-ESM2-0,1.0040256517203978,5.260997244505402,190.7229106475944,5000.0,1.1227811748369083,2.2443736250369017,2.7611428874421584,0.5116404668969361,1.578107095794459,3.163116553943724,2.5068983634570743,0.4645288930811304,3.8563254531381936,3.3199690771064527,3.5403434713182027,3.0780059754660645,3.799397530329487,2.87975912581553
NESM3,1.1754199799510532,11.558080806315381,80.7788677659797,5000.0,3.379544023221018,2.067729595871976,1.9055008406951888,1.8885763366194104,4.922224475059859,1.3948945373976882,1.6561043910866815,1.6413950060692306,4.807309204806732,4.6206753982037965,3.8665857196003377,4.6880255193702425,3.9994376719246247,4.484334871073097
NorCPM1,1.0029365898264655,5.0233295772550886,89.10218022849932,5000.0,1.0401232888378609,1.972962406033529,2.102496955428453,1.56349016170418,0.7966730338547336,3.619370553396149,1.7485259947358691,1.3002649935806652,3.732417287783708,3.3395364060020114,3.3115010682578285,3.05706004567004,3.92823233415384,2.6432152885994764
NorESM2-LM,1.9499324403299767,18.67354261930639,280.79634175310684,5000.0,3.0340207625616187,0.0,2.671249122202892,0.055330614163395166,7.42291716500444,0.0,2.5071304381508925,0.051931160511241366,4.990989381833288,2.8803002494639527,3.4143845260037784,2.583753126559726,4.630607091149335,2.2430300231882785
NorESM2-MM,2.130730376540229,12.915422804143095,255.689990903692,5000.0,3.215584917712414,0.0,1.8683993290546528,0.020561683016462492,6.635090874952809,0.0,2.4902771261327143,0.027405430998840963,4.576386716042182,2.552272964891765,3.9074764534892505,2.4373104847074085,4.41133481617316,2.3046821883475848
SAM0-UNICON,3.7993457563350543,26.08039009650497,278.66278782472716,5000.0,4.175036507227377,0.0,3.714707798023592,0.14904359048599036,5.540078383589966,0.0,3.1001437246484147,0.12438570592013945,4.382303907079261,4.01939394786848,3.9233102441521512,3.7162519747215024,4.22461711249937,3.570117035792272
TaiESM1,1.2873852627505924,8.443571584505722,291.7258894511836,5000.0,1.6327030345561655,3.2021824058266626,4.2734177974643055,0.1693917841499154,3.3361271997190967,3.167740895244139,3.1358188385955814,0.1242990910357058,4.8819930122972615,4.6388475109985245,3.8607570711291865,4.3416159709793085,4.274369048716031,3.852566130662467
UKESM1-0-LL,2.0312135392325845,15.283237020998339,96.4818941287949,5000.0,2.818000781398301,2.6845154433682805,2.9122391643172287,2.6898557966937977,2.9433717574774745,1.843811421555252,1.7757934799048365,1.640190972012063,4.101583815474813,5.5523055928888025,3.6028738407494347,5.364982048361997,3.906025100963913,4.777214141900175
HadGEM3-GC31-LL,2.971772946715917,26.13054349325151,357.1677122746372,5000.0,3.1815422737654573,3.4370471781054728,3.9839601605287935,0.8697727086210508,3.2729041074330856,1.9643677904264458,2.293506227470617,0.5007151284970659,4.015746626913607,5.736161160510387,3.4758208452255928,5.555840014567167,3.8650208165766573,4.677224653977926
