,model,exp,member,parent_experiment_id,parent_variant_id,branch_time_in_child,branch_time_in_parent,parent_time_units,branch_method
120,EC-Earth3,ssp119,r140i1p1f1,historical,r140i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
121,EC-Earth3,ssp119,r141i1p1f1,historical,r141i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
122,EC-Earth3,ssp119,r142i1p1f1,historical,r142i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
123,EC-Earth3,ssp119,r143i1p1f1,historical,r143i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
124,EC-Earth3,ssp119,r144i1p1f1,historical,r144i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
125,EC-Earth3,ssp119,r145i1p1f1,historical,r145i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
126,EC-Earth3,ssp119,r146i1p1f1,historical,r146i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
127,EC-Earth3,ssp119,r147i1p1f1,historical,r147i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
128,EC-Earth3,ssp119,r148i1p1f1,historical,r148i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
129,EC-Earth3,ssp119,r149i1p1f1,historical,r149i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
130,EC-Earth3,ssp119,r150i1p1f1,historical,r150i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
131,EC-Earth3,ssp119,r4i1p1f1,historical,r4i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
132,EC-Earth3,ssp126,r101i1p1f1,historical,r101i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
133,EC-Earth3,ssp126,r102i1p1f1,historical,r102i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
134,EC-Earth3,ssp126,r103i1p1f1,historical,r103i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
135,EC-Earth3,ssp126,r104i1p1f1,historical,r104i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
136,EC-Earth3,ssp126,r105i1p1f1,historical,r105i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
137,EC-Earth3,ssp126,r106i1p1f1,historical,r106i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
138,EC-Earth3,ssp126,r107i1p1f1,historical,r107i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
139,EC-Earth3,ssp126,r108i1p1f1,historical,r108i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
